Student ID,Outcome,Reason,Job Seeking,Previous Salary,New Salary,Salary Delta,Filtered New Salary,Filtered Salary Delta,Delta when Below 60K,Repeated a Module,Filtered Repeated,,Gender Identity,Filtered Gender,Racial Identity,Filtered Racial,,Veteran Status,Filtered Veteran,,Highest Degree,Filtered W/O Degree,,Job Hunt Length,Filtered Job Hunt,,Job Title,Filtered Job Title
8,graduated,,Yes,"$24,000","$75,000","$51,000","$75,000","$51,000","$51,000",None,None,,Male,Male,White,White,,No,No,,Bachelor's degree,Bachelor's degree,,0-30 days,0-30 days,,Associate Engineer,Associate Engineer
13,graduated,,Yes,"$24,000","$67,500","$43,500","$67,500","$43,500","$43,500",None,None,,Male,Male,White,White,,No,No,,Associate's degree,Associate's degree,,I received an offer before graduation,I received an offer before graduation,,Software Developer,Software Developer
14,graduated,,Yes,"$250,000","$85,000","-$165,000","$85,000","-$165,000",,None,None,,Male,Male,Hispanic or Latino,Hispanic or Latino,,No,No,,Bachelor's degree,Bachelor's degree,,90-120 days,90-120 days,,Product Developer,Product Developer
17,graduated,,Yes,"$65,000","$70,000","$5,000","$70,000","$5,000",,None,None,,Male,Male,Hispanic or Latino,Hispanic or Latino,,No,No,,Bachelor's degree,Bachelor's degree,,I received an offer before graduation,I received an offer before graduation,,Junior Developer,Junior Developer
21,graduated,,Yes,"$12,000","$110,000","$98,000","$110,000","$98,000","$98,000",None,None,,Female,Female,White,White,,No,No,,Bachelor's degree,Bachelor's degree,,I received an offer before graduation,I received an offer before graduation,,Software Engineer,Software Engineer
25,graduated,,Yes,N/A,,,,,,None,None,,Male,Male,White,White,,No,No,,High School Diploma or equivalent,High School Diploma or equivalent,,61-90 days,61-90 days,,Full Stack Developer,Full Stack Developer
30,graduated,,Yes,"$33,000","$45,000","$12,000","$45,000","$12,000",,None,None,,Male,Male,White,White,,No,No,,Bachelor's degree,Bachelor's degree,,61-90 days,61-90 days,,Software Developer,Software Developer
40,graduated,,Yes,"$24,000","$75,000","$51,000","$75,000","$51,000","$51,000",None,None,,Female,Female,White,White,,No,No,,Associate's degree,Associate's degree,,0-30 days,0-30 days,,Junior Software Developer,Junior Software Developer
42,graduated,,Yes,"$95,000","$85,000","-$10,000","$85,000","-$10,000",,None,None,,Female,Female,White,White,,No,No,,Bachelor's degree,Bachelor's degree,,I received an offer before graduation,I received an offer before graduation,,Software Developer,Software Developer
48,graduated,,Yes,"$42,000","$110,000","$68,000","$110,000","$68,000","$68,000",None,None,,Male,Male,White,White,,No,No,,Bachelor's degree,Bachelor's degree,,I received an offer before graduation,I received an offer before graduation,,"Software Engineer/""Senior Architect""","Software Engineer/""Senior Architect"""
59,graduated,,Yes,"$69,245","$72,000","$2,755","$72,000","$2,755",,None,None,,Male,Male,Hispanic or Latino,Hispanic or Latino,,No,No,,Bachelor's degree,Bachelor's degree,,90-120 days,90-120 days,,Software Developer,Software Developer
64,graduated,,Yes,"$72,000","$72,000",$0,"$72,000",$0,,None,None,,Male,Male,White,White,,No,No,,Bachelor's degree,Bachelor's degree,,31-60 days,31-60 days,,Software engineer,Software engineer
68,graduated,,Yes,"$115,000","$75,000","-$40,000","$75,000","-$40,000",,None,None,,Male,Male,White,White,,No,No,,Bachelor's degree,Bachelor's degree,,31-60 days,31-60 days,,Solution Developer,Solution Developer
70,graduated,,Yes,"$45,000","$60,000","$15,000","$60,000","$15,000","$15,000",None,None,,Male,Male,White,White,,No,No,,Bachelor's degree,Bachelor's degree,,31-60 days,31-60 days,,Software Engineer,Software Engineer
71,did not finish,employed,Yes,"$60,000","$75,000","$15,000",,,,Repeated one module,,,Female,,White,,,No,,,Bachelor's degree,,,I received an offer before graduation,,,Looking for a jerb ,
75,graduated,,Yes,"$42,000","$65,000","$23,000","$65,000","$23,000","$23,000",None,None,,Male,Male,"White, Native American or American indian","White, Native American or American indian",,No,No,,Master's degree,Master's degree,,61-90 days,61-90 days,,Software Developer,Software Developer
80,graduated,,Yes,"$40,000","$80,000","$40,000","$80,000","$40,000","$40,000",None,None,,Male,Male,White,White,,No,No,,Bachelor's degree,Bachelor's degree,,I received an offer before graduation,I received an offer before graduation,,Frontend Engineer,Frontend Engineer
83,graduated,,Yes,"$72,000","$80,000","$8,000","$80,000","$8,000",,None,None,,Male,Male,White,White,,No,No,,Bachelor's degree,Bachelor's degree,,I received an offer before graduation,I received an offer before graduation,,Software Engineer,Software Engineer
98,graduated,,Yes,,,,,,,,,,Male,Male,White,White,,Yes,Yes,,,,,61-90 days,61-90 days,,,
103,graduated,,Yes,"$38,000","$65,000","$27,000","$65,000","$27,000","$27,000",None,None,,Female,Female,White,White,,No,No,,Bachelor's degree,Bachelor's degree,,0-30 days,0-30 days,,Software Developer,Software Developer
